Objects,Runtime
100,4.199999999995874e-06
200,3.9999999999901226e-06
300,4.400000000001625e-06
400,5.099999999993998e-06
500,4.099999999992998e-06
600,4.999999999991123e-06
700,4.600000000021254e-06
800,5.100000000007876e-06
900,5.0000000000050004e-06
1000,7.699999999999374e-06
1100,4.900000000002125e-06
1200,4.2000000000097515e-06
1300,5.100000000007876e-06
1400,5.100000000007876e-06
1500,5.399999999988747e-06
1600,4.899999999974369e-06
1700,5.199999999982996e-06
1800,5.0999999999801204e-06
1900,5.199999999982996e-06
2000,5.499999999991623e-06
2100,5.699999999997374e-06
2200,5.499999999991623e-06
2300,5.400000000044258e-06
2400,5.599999999994498e-06
2500,7.699999999999374e-06
2600,6.100000000008876e-06
2700,6.999999999979245e-06
2800,5.699999999997374e-06
2900,5.8000000000557606e-06
3000,5.699999999997374e-06
3100,6.000000000061512e-06
3200,5.799999999944738e-06
3300,5.199999999927485e-06
3400,6.400000000073014e-06
3500,6.100000000008876e-06
3600,5.699999999997374e-06
3700,6.1999999999562405e-06
3800,6.299999999903605e-06
3900,5.699999999997374e-06
4000,6.100000000008876e-06
4100,6.400000000184036e-06
4200,6.100000000008876e-06
4300,6.299999999903605e-06
4400,6.600000000078765e-06
4500,5.900000000114147e-06
4600,5.8000000000557606e-06
4700,6.299999999903605e-06
4800,6.399999999961992e-06
4900,5.900000000114147e-06
5000,5.8000000000557606e-06
5100,6.299999999903605e-06
5200,6.799999999973494e-06
5300,6.799999999973494e-06
5400,6.5999999998567205e-06
5500,6.600000000078765e-06
5600,6.100000000008876e-06
5700,6.5999999998567205e-06
5800,6.699999999693063e-06
5900,6.0999999997868315e-06
6000,6.100000000230921e-06
6100,5.199999999927485e-06
6200,6.299999999903605e-06
6300,6.799999999973494e-06
6400,5.699999999997374e-06
6500,7.500000000160156e-06
6600,6.60000000030081e-06
6700,6.400000000184036e-06
6800,5.899999999670058e-06
6900,6.5999999998567205e-06
7000,8.299999999739072e-06
7100,6.399999999739947e-06
7200,7.499999999716067e-06
7300,6.299999999903605e-06
7400,6.299999999903605e-06
7500,6.500000000020378e-06
7600,7.899999999949614e-06
7700,8.499999999855845e-06
7800,8.499999999855845e-06
7900,6.0999999997868315e-06
8000,6.400000000184036e-06
8100,6.299999999903605e-06
8200,6.200000000067263e-06
8300,6.5999999998567205e-06
8400,6.899999999809836e-06
8500,6.700000000137152e-06
8600,6.499999999576289e-06
8700,7.399999999435636e-06
8800,6.5000000004644676e-06
8900,7.000000000090267e-06
9000,7.100000000370699e-06
9100,5.899999999670058e-06
9200,6.5000000004644676e-06
9300,7.000000000090267e-06
9400,9.200000000042508e-06
9500,8.500000000744024e-06
9600,5.899999999670058e-06
9700,6.700000000137152e-06
9800,8.300000000183161e-06
9900,6.299999999903605e-06
10000,7.1999999997629516e-06
10100,7.499999999716067e-06
10200,6.700000000137152e-06
10300,7.899999999949614e-06
10400,6.499999999576289e-06
10500,7.1999999997629516e-06
10600,8.499999999855845e-06
10700,9.300000000322939e-06
10800,6.700000000137152e-06
10900,6.5000000004644676e-06
11000,7.70000000027693e-06
11100,7.300000000043383e-06
11200,6.699999999248973e-06
11300,8.599999999248098e-06
11400,7.5999999999964984e-06
11500,9.700000000556486e-06
11600,7.899999999949614e-06
11700,4.9000000004184585e-06
11800,9.700000001444664e-06
11900,8.599999999248098e-06
12000,9.79999999906056e-06
12100,7.000000000090267e-06
12200,7.5999999999964984e-06
12300,7.5999999999964984e-06
12400,7.09999999948252e-06
12500,7.20000000065113e-06
12600,7.999999999341867e-06
12700,6.300000000791783e-06
12800,7.699999999388751e-06
12900,8.499999999855845e-06
13000,7.000000000090267e-06
13100,8.19999999990273e-06
13200,9.90000000022917e-06
13300,7.699999999388751e-06
13400,6.400000000184036e-06
13500,7.400000001211993e-06
13600,9.899999998452813e-06
13700,1.0599999999527654e-05
13800,1.1999999999900979e-05
13900,7.09999999948252e-06
14000,8.19999999990273e-06
14100,8.100000000510477e-06
14200,7.999999999341867e-06
14300,8.899999999201214e-06
14400,9.700000001444664e-06
14500,9.999999999621423e-06
14600,8.899999999201214e-06
14700,1.0300000001350895e-05
14800,6.500000001352646e-06
14900,9.000000000369823e-06
15000,7.800000000557361e-06
15100,7.800000000557361e-06
15200,8.599999999248098e-06
15300,1.2099999999293232e-05
15400,7.5000000006042455e-06
15500,7.999999999341867e-06
15600,1.160000000055561e-05
15700,6.600000000744899e-06
15800,9.200000000930686e-06
15900,8.500000001632202e-06
16000,7.5999999999964984e-06
16100,8.299999999294982e-06
16200,9.700000001444664e-06
16300,6.9000000006980144e-06
16400,8.999999998593466e-06
16500,7.09999999948252e-06
16600,1.0700000000696264e-05
16700,8.000000001118224e-06
16800,7.000000000090267e-06
16900,9.399999999715192e-06
17000,8.79999999980896e-06
17100,7.800000002333718e-06
17200,8.699999998640351e-06
17300,8.999999998593466e-06
17400,8.499999999855845e-06
17500,8.90000000097757e-06
17600,8.19999999990273e-06
17700,1.0100000000790033e-05
17800,8.19999999990273e-06
17900,1.1799999999340116e-05
18000,1.1300000000602495e-05
18100,1.5299999997608893e-05
18200,9.099999999762076e-06
18300,1.5000000001208491e-05
18400,1.0299999999574538e-05
18500,9.399999999715192e-06
18600,9.399999999715192e-06
18700,8.000000001118224e-06
18800,1.2300000001630451e-05
18900,7.699999997612395e-06
19000,7.499999998827889e-06
19100,9.00000000214618e-06
19200,8.19999999990273e-06
19300,9.599999998499698e-06
19400,7.5999999999964984e-06
19500,8.699999998640351e-06
19600,1.1199999999433885e-05
19700,1.180000000289283e-05
19800,1.1300000000602495e-05
19900,1.1499999999387e-05
20000,1.2099999999293232e-05
20100,1.6099999999852344e-05
20200,1.2199999996909128e-05
20300,8.899999997424857e-06
20400,9.200000000930686e-06
20500,1.0099999997237319e-05
20600,8.90000000097757e-06
20700,7.5999999999964984e-06
20800,1.0199999998405929e-05
20900,8.499999999855845e-06
21000,9.599999998499698e-06
21100,9.999999999621423e-06
21200,9.200000000930686e-06
21300,1.0299999999574538e-05
21400,1.2800000000368073e-05
21500,9.800000000836917e-06
21600,9.899999998452813e-06
21700,6.400000000184036e-06
21800,1.2700000002752176e-05
21900,9.499999997331088e-06
22000,1.2600000001583567e-05
22100,1.2599999998030853e-05
22200,9.800000000836917e-06
22300,9.200000000930686e-06
22400,1.0299999999574538e-05
22500,1.0300000003127252e-05
22600,8.699999998640351e-06
22700,8.000000001118224e-06
22800,1.100000000064938e-05
22900,1.089999999948077e-05
23000,9.500000000883801e-06
23100,9.600000002052411e-06
23200,1.0299999999574538e-05
23300,1.059999999597494e-05
23400,9.099999999762076e-06
23500,1.0500000001911758e-05
23600,7.799999998781004e-06
23700,1.0199999998405929e-05
23800,1.649999999386864e-05
23900,1.0400000000743148e-05
24000,8.299999997518626e-06
24100,1.0600000003080368e-05
24200,9.299999994993868e-06
24300,1.260000000513628e-05
24400,9.600000005605125e-06
24500,1.1200000002986599e-05
24600,9.699999999668307e-06
24700,6.100000000230921e-06
24800,1.5500000003498826e-05
24900,9.499999997331088e-06
25000,1.1899999996956012e-05
25100,1.0199999998405929e-05
25200,1.160000000055561e-05
25300,8.999999998593466e-06
25400,8.100000002286833e-06
25500,9.500000004436515e-06
25600,1.3000000002705292e-05
25700,1.1299999997049781e-05
25800,9.499999997331088e-06
25900,1.0400000000743148e-05
26000,9.200000000930686e-06
26100,1.200000000523005e-05
26200,1.069999999714355e-05
26300,9.699999999668307e-06
26400,9.000000005698894e-06
26500,1.2899999994431255e-05
26600,1.0400000000743148e-05
26700,1.3199999997937084e-05
26800,9.699999999668307e-06
26900,1.0200000005511356e-05
27000,1.0299999999574538e-05
27100,1.2300000001630451e-05
27200,1.0400000000743148e-05
27300,8.999999998593466e-06
27400,1.1200000002986599e-05
27500,1.0299999999574538e-05
27600,1.139999999821839e-05
27700,8.499999999855845e-06
27800,9.299999994993868e-06
27900,1.0400000000743148e-05
28000,1.180000000289283e-05
28100,8.900000004530284e-06
28200,9.399999996162478e-06
28300,1.1500000006492428e-05
28400,1.160000000055561e-05
28500,8.800000003361674e-06
28600,1.0800000005417587e-05
28700,1.2699999999199463e-05
28800,8.899999997424857e-06
28900,9.699999999668307e-06
29000,1.800000000429236e-05
29100,1.0800000005417587e-05
29200,9.300000002099296e-06
29300,1.0400000000743148e-05
29400,1.2899999994431255e-05
29500,1.1300000004155208e-05
29600,1.0500000001911758e-05
29700,1.089999999948077e-05
29800,1.1999999998124622e-05
29900,1.160000000055561e-05
30000,1.2499999996862243e-05
30100,1.3400000000274304e-05
30200,1.2599999998030853e-05
30300,9.900000002005527e-06
30400,1.100000000064938e-05
30500,1.2300000001630451e-05
30600,1.0400000000743148e-05
30700,1.0400000000743148e-05
30800,1.2800000000368073e-05
30900,1.200000000523005e-05
31000,1.2400000002799061e-05
31100,1.089999999948077e-05
31200,9.300000002099296e-06
31300,8.999999998593466e-06
31400,1.4799999995318558e-05
31500,7.099999997706163e-06
31600,1.180000000289283e-05
31700,1.0600000003080368e-05
31800,9.800000000836917e-06
31900,1.2599999998030853e-05
32000,1.3200000005042511e-05
32100,1.0600000003080368e-05
32200,1.2599999998030853e-05
32300,1.4700000001255376e-05
32400,1.5700000005836046e-05
32500,1.2800000000368073e-05
32600,1.3000000002705292e-05
32700,9.600000012710552e-06
32800,1.0300000013785393e-05
32900,1.0299999999574538e-05
33000,1.079999999831216e-05
33100,1.1499999999387e-05
33200,1.3199999997937084e-05
33300,8.899999997424857e-06
33400,1.1499999999387e-05
33500,1.190000000406144e-05
33600,1.0299999999574538e-05
33700,9.500000004436515e-06
33800,1.2299999994525024e-05
33900,1.039999999363772e-05
34000,1.3699999996674705e-05
34100,1.1799999995787402e-05
34200,1.0099999997237319e-05
34300,1.3300000006211121e-05
34400,1.0200000005511356e-05
34500,1.1499999999387e-05
34600,1.3800000004948743e-05
34700,9.200000008036113e-06
34800,1.3100000003873902e-05
34900,1.3099999989663047e-05
35000,7.400000001211993e-06
35100,1.1999999998124622e-05
35200,1.28000000074735e-05
35300,1.079999999831216e-05
35400,1.170000000172422e-05
35500,1.3899999999011925e-05
35600,8.499999992750418e-06
35700,1.2299999994525024e-05
35800,9.600000012710552e-06
35900,1.190000000406144e-05
36000,1.0700000004248977e-05
36100,1.100000000064938e-05
36200,1.2999999995599865e-05
36300,1.0299999999574538e-05
36400,9.399999996162478e-06
36500,1.2999999995599865e-05
36600,1.3499999994337486e-05
36700,1.260000000513628e-05
36800,9.300000002099296e-06
36900,1.190000000406144e-05
37000,1.1400000005323818e-05
37100,1.1499999999387e-05
37200,1.2100000006398659e-05
37300,1.1599999993450183e-05
37400,1.1100000008923416e-05
37500,1.3800000004948743e-05
37600,1.2699999999199463e-05
37700,1.0900000006586197e-05
37800,1.170000000172422e-05
37900,1.1999999998124622e-05
38000,1.1600000007661038e-05
38100,9.500000004436515e-06
38200,1.1400000005323818e-05
38300,1.1999999998124622e-05
38400,1.4600000000086766e-05
38500,1.2099999992187804e-05
38600,1.0099999997237319e-05
38700,1.170000000172422e-05
38800,1.1999999998124622e-05
38900,1.2099999992187804e-05
39000,1.100000000064938e-05
39100,9.900000009110954e-06
39200,1.2299999994525024e-05
39300,1.3699999996674705e-05
39400,1.1499999999387e-05
39500,1.300000000981072e-05
39600,1.4000000007285962e-05
39700,1.1799999995787402e-05
39800,1.0099999997237319e-05
39900,1.2999999995599865e-05
40000,1.079999999831216e-05
40100,1.1999999998124622e-05
40200,1.1200000002986599e-05
40300,1.190000000406144e-05
40400,9.69999999256288e-06
40500,1.4499999991812729e-05
40600,1.2900000001536682e-05
40700,1.260000000513628e-05
40800,1.0899999992375342e-05
40900,1.4000000007285962e-05
41000,8.700000009298492e-06
41100,9.800000000836917e-06
41200,1.059999999597494e-05
41300,1.2400000002799061e-05
41400,1.2400000002799061e-05
41500,1.100000000064938e-05
41600,1.059999999597494e-05
41700,1.1499999999387e-05
41800,1.1299999997049781e-05
41900,1.1400000005323818e-05
42000,1.0899999992375342e-05
42100,1.0000000003174137e-05
42200,1.0900000006586197e-05
42300,1.0299999999574538e-05
42400,6.599999991863115e-06
42500,1.1099999994712562e-05
42600,1.1100000008923416e-05
42700,1.2999999995599865e-05
42800,1.1800000009998257e-05
42900,1.1100000008923416e-05
43000,1.1499999999387e-05
43100,1.079999999831216e-05
43200,1.2200000000461841e-05
43300,1.0500000001911758e-05
43400,1.3800000004948743e-05
43500,1.1299999997049781e-05
43600,1.1499999999387e-05
43700,1.1299999997049781e-05
43800,1.0899999992375342e-05
43900,1.2900000001536682e-05
44000,1.559999999756201e-05
44100,1.0899999992375342e-05
44200,7.499999995275175e-06
44300,1.3699999996674705e-05
44400,1.1999999998124622e-05
44500,1.3299999992000267e-05
44600,1.0700000004248977e-05
44700,1.2200000000461841e-05
44800,1.2699999999199463e-05
44900,1.0000000003174137e-05
45000,1.0200000005511356e-05
45100,9.69999999256288e-06
45200,1.0199999991300501e-05
45300,1.039999999363772e-05
45400,1.1400000005323818e-05
45500,9.800000000836917e-06
45600,1.4300000003686364e-05
45700,1.2299999994525024e-05
45800,1.100000000064938e-05
45900,9.500000004436515e-06
46000,1.100000000064938e-05
46100,8.79999998915082e-06
46200,1.1299999982838926e-05
46300,1.0900000006586197e-05
46400,1.1700000015935075e-05
46500,1.2199999986250987e-05
46600,1.1400000005323818e-05
46700,1.1999999998124622e-05
46800,1.1300000011260636e-05
46900,8.699999995087637e-06
47000,1.3599999988400668e-05
47100,1.1299999982838926e-05
47200,1.2700000013410317e-05
47300,1.0299999985363684e-05
47400,1.1699999987513365e-05
47500,1.100000000064938e-05
47600,1.0800000012523014e-05
47700,1.1099999994712562e-05
47800,9.799999986626062e-06
47900,8.299999990413198e-06
48000,9.599999998499698e-06
48100,1.3899999999011925e-05
48200,1.1800000009998257e-05
48300,1.0299999985363684e-05
48400,1.0000000003174137e-05
48500,1.2699999984988608e-05
48600,1.1200000017197453e-05
48700,1.1299999982838926e-05
48800,1.3799999976527033e-05
48900,1.5200000007098424e-05
49000,1.2499999996862243e-05
49100,9.099999999762076e-06
49200,1.2400000002799061e-05
49300,1.3400000000274304e-05
49400,1.0300000013785393e-05
49500,1.1699999987513365e-05
49600,1.1200000017197453e-05
49700,1.2900000001536682e-05
49800,1.2999999995599865e-05
49900,1.3400000000274304e-05
50000,1.2400000002799061e-05
Objects,Runtime
Objects,Runtime
Objects,Runtime
Objects,Runtime
